Family,Child
[F0000],[I0001]
[F0000],[I0002]
[F0000],[I0222]
[F0000],[I0246]
[F0000],[I0247]
[F0003],[I0005]
[F0003],[I0006]
[F0003],[I0007]
[F0003],[I0008]
[F0005],[I0011]
[F0005],[I0012]
[F0005],[I0014]
[F0005],[I0016]
[F0005],[I0017]
[F0005],[I0020]
[F0005],[I0021]
[F0005],[I0022]
[F0005],[I0023]
[F0012],[I0027]
[F0012],[I0029]
[F0012],[I0031]
[F0012],[I0032]
[F0012],[I0033]
[F0012],[I0036]
[F0012],[I0038]
[F0018],[I0040]
[F0019],[I0042]
[F0021],[I0045]
[F0021],[I0046]
[F0021],[I0047]
[F0021],[I0048]
[F0021],[I0049]
[F0021],[I0050]
[F0021],[I0051]
[F0024],[I0054]
[F0024],[I0055]
[F0024],[I0056]
[F0024],[I0057]
[F0024],[I0058]
[F0025],[I0060]
[F0025],[I0061]
[F0025],[I0062]
[F0025],[I0063]
[F0025],[I0064]
[F0025],[I0065]
[F0027],[I0069]
[F0027],[I0070]
[F0027],[I0071]
[F0028],[I0073]
[F0031],[I0076]
[F0031],[I0077]
[F0031],[I0078]
[F0032],[I0080]
[F0032],[I0081]
[F0032],[I0082]
[F0032],[I0083]
[F0032],[I0084]
[F0032],[I0085]
[F0032],[I0086]
[F0032],[I0087]
[F0032],[I0088]
[F0034],[I0245]
[F0035],[I0092]
[F0035],[I0093]
[F0035],[I0094]
[F0035],[I0095]
[F0035],[I0096]
[F0035],[I0097]
[F0035],[I0098]
[F0035],[I0099]
[F0035],[I0100]
[F0036],[I0101]
[F0036],[I0102]
[F0036],[I0103]
[F0036],[I0104]
[F0037],[I0106]
[F0039],[I0109]
[F0039],[I0110]
[F0041],[I0113]
[F0041],[I0114]
[F0041],[I0115]
[F0042],[I0117]
[F0042],[I0118]
[F0042],[I0119]
[F0042],[I0120]
[F0042],[I0121]
[F0043],[I0123]
[F0043],[I0124]
[F0043],[I0125]
[F0043],[I0126]
[F0044],[I0128]
[F0044],[I0129]
[F0044],[I0130]
[F0044],[I0131]
[F0044],[I0132]
[F0045],[I0134]
[F0045],[I0135]
[F0045],[I0136]
[F0045],[I0137]
[F0046],[I0140]
[F0048],[I0142]
[F0048],[I0143]
[F0048],[I0144]
[F0048],[I0145]
[F0048],[I0146]
[F0049],[I0148]
[F0049],[I0149]
[F0049],[I0150]
[F0049],[I0151]
[F0050],[I0153]
[F0050],[I0154]
[F0050],[I0155]
[F0051],[I0157]
[F0051],[I0158]
[F0051],[I0159]
[F0051],[I0160]
[F0052],[I0162]
[F0052],[I0163]
[F0052],[I0164]
[F0052],[I0165]
[F0052],[I0166]
[F0052],[I0167]
[F0053],[I0169]
[F0053],[I0170]
[F0053],[I0171]
[F0053],[I0172]
[F0053],[I0173]
[F0053],[I0174]
[F0054],[I0176]
[F0054],[I0177]
[F0054],[I0178]
[F0054],[I0179]
[F0054],[I0180]
[F0054],[I0181]
[F0056],[I0186]
[F0059],[I0188]
[F0059],[I0189]
[F0060],[I0191]
[F0060],[I0192]
[F0062],[I0195]
[F0062],[I0196]
[F0062],[I0197]
[F0062],[I0198]
[F0063],[I0200]
[F0063],[I0201]
[F0065],[I0204]
[F0065],[I0205]
[F0065],[I0206]
[F0065],[I0207]
[F0065],[I0208]
[F0066],[I0210]
[F0066],[I0211]
[F0066],[I0212]
[F0067],[I0214]
[F0067],[I0215]
[F0067],[I0216]
[F0068],[I0218]
[F0069],[I0220]
[F0070],[I0223]
[F0070],[I0224]
[F0070],[I0225]
[F0070],[I0226]
[F0070],[I0227]
[F0070],[I0228]
[F0070],[I0229]
[F0071],[I0232]
[F0071],[I0233]
[F0071],[I0234]
[F0071],[I0235]
[F0071],[I0236]
[F0071],[I0237]
[F0072],[I0238]
[F0072],[I0239]
[F0073],[I0241]
[F0073],[I0242]
[F0073],[I0243]
[F0073],[I0244]
